,,Hp6_log2.fc.,Hp24_log2.fc.
SDS,serine dehydratase ,4.14,5.73
NDUFA4L2,"NDUFA4, mitochondrial complex associated like 2 ",3.65,7.35
SLC16A3,solute carrier family 16 member 3 ,2.31,3.23
PDK1,pyruvate dehydrogenase kinase 1 ,1.69,2.3
SLC2A1,solute carrier family 2 member 1 ,1.93,2.17
SLC2A3,solute carrier family 2 member 3 ,4.63,5.8
PYGM,"glycogen phosphorylase, muscle associated ",,7.89
SLC2A11,solute carrier family 2 member 11 ,,2.39
ALDOC,"aldolase, fructose-bisphosphate C ",,2.11
TPI1,triosephosphate isomerase 1 ,,1.23
SLC2A9,solute carrier family 2 member 9 ,,1.12
ALDOA,"aldolase, fructose-bisphosphate A ",,1.02
SLC16A6,solute carrier family 16 member 6 ,,-1.12
SLC2A2,solute carrier family 2 member 2 ,,-2.28
ENOX1,ecto-NOX disulfide-thiol exchanger 1 ,,9.63
NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4 ,,-1.1
HK2,hexokinase 2 ,1.59,
PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 ",3.13,
PPP1R3G,protein phosphatase 1 regulatory subunit 3G ,10.92,
